city,country,total score 21,quatity score 21,quality score 21,business score 21,sign of change in position from 2020,change FROM 2020,position 2021,change in position from 2020,total score 22,quantity score 22,quality score 22,"business score 22
",sign of change in position from 2021,change FROM 2021,position 2022,change in position from 2021
Amsterdam, The Netherlands,13.578,2.46,7.82,3.3,-,-9,29,9,26.807,3.46,19.97,3.38,+,+2,27,2
Atlanta, United States,15.106,2.59,8.72,3.8,-,-9,28,9,26.528,3.38,19.49,3.66,,0,28,0
Austin, United States,18.598,3.2,11.6,3.8,-,-1,18,1,32.906,4.36,24.89,3.66,-,-2,20,2
Bangalore, India,25.367,5.04,17.95,2.38,+,+4,10,4,63.282,6.64,54.19,2.46,+,+2,8,2
Barcelona, Spain,11.918,3.17,5.43,3.31,-,-10,37,10,20.669,6.18,11.49,3,,0,37,0
Beijing, China,66.049,5.01,58.61,2.43,+,+3,3,3,102.695,7.11,92.93,2.65,-,-3,6,3
Berlin, Germany,23.872,4.03,16.35,3.49,-,-5,13,5,48.355,4.99,39.83,3.54,+,+1,12,1
Boston Area, United States,49.835,5.5,40.53,3.8,-,-2,6,2,108.05,8.66,95.73,3.66,+,+1,5,1
Chicago, United States,19.121,4.37,10.95,3.8,-,-4,17,4,40.97,5.79,31.52,3.66,+,+3,14,3
Dallas-Fort Worth, United States,15.535,2.9,8.84,3.8,-,-4,27,4,29.353,4.1,21.59,3.66,+,+1,26,1
Denver, United States,13.554,2.36,7.39,3.8,+,+4,30,4,24.044,3.46,16.92,3.66,-,-4,34,4
Detroit, United States,8.402,1.19,3.41,3.8,-,-1,49,1,0,0,0,0,0,0,0,0
Hangzhou, China,13.167,0.95,10.14,2.08,+,+12,33,12,24.846,1.69,20.5,2.65,+,+3,30,3
Helsinki, Finland,10.006,1.77,4.6,3.64,-,-5,44,5,14.795,2.42,8.69,3.68,-,-4,48,4
Hong Kong, China,13.2,2.77,8.18,2.26,+,+4,32,4,22.091,3.01,16.43,2.65,-,-4,36,4
Jakarta, Indonesia,13.158,1.7,9.76,1.71,+,+7,34,7,24.437,2.24,20.48,1.72,+,+2,32,2
Kiev, Ukraine,8.436,1.86,3.97,2.6,-,-16,48,16,0,0,0,0,0,0,0,0
London, United Kingdom,56.913,15.77,37.44,3.7,-,-2,5,2,125.637,21.67,100.17,3.79,+,+2,3,2
Los Angeles Area, United States,58.441,11.23,43.41,3.8,+,+1,4,1,113.855,14.68,95.52,3.66,,0,4,0
Madrid, Spain,9.553,2.4,3.84,3.31,-,-10,45,10,14.378,3.58,7.49,3.31,-,-5,50,5
Melbourne, Australia,10.572,2.14,4.93,3.5,+,+1,39,1,17.142,2.85,10.65,3.64,-,-3,42,3
Mexico City, Mexico,8.385,1.24,4.6,2.54,+,+3,50,3,15.691,1.74,11.52,2.43,+,+6,44,6
Miami Area, United States,13.213,3.21,6.21,3.8,-,-6,31,6,24.144,4.13,16.36,3.66,-,-2,33,2
Minneapolis, United States,10.219,1.12,5.3,3.8,+,+7,43,7,16.97,1.78,11.53,3.66,,0,43,0
Montreal, Canada,9.248,1.79,3.91,3.55,+,+3,46,3,15.084,2.13,9.84,3.11,+,+1,45,1
Moscow, Russia,25.401,7.37,15.64,2.39,,0,9,0,25.082,7.78,14.73,2.57,-,-20,29,20
Mumbai, India,19.414,3.27,13.54,2.61,+,+6,16,6,36.211,3.97,29.79,2.46,-,-1,17,1
Munich, Germany,11.769,1.8,6.47,3.49,,0,38,0,19.652,2.48,13.63,3.54,-,-1,39,1
New Delhi, India,22.379,5.88,13.9,2.61,+,+1,14,1,43.043,6.68,33.91,2.46,+,+1,13,1
New York, United States,110.777,11.43,95.55,3.8,,0,2,0,217.002,18.34,195,3.66,,0,2,0
Paris, France,25.297,5.27,16.62,3.41,+,+1,11,1,52.877,7.58,41.89,3.4,+,+1,10,1
Philadelphia, United States,13.111,1.7,7.62,3.8,+,+9,35,9,23.199,2.63,16.91,3.66,,0,35,0
Phoenix, United States,8.469,1.58,3.09,3.8,+,+5,47,5,0,0,0,0,0,0,0,0
Raleigh Durham, United States,10.474,1.09,5.8,3.58,+,+3,40,3,0,0,0,0,0,0,0,0
San Diego, United States,17.272,2.64,10.83,3.8,+,+6,22,6,32.558,3.91,24.99,3.66,+,+1,21,1
San Francisco Bay, United States,328.966,29.14,296.02,3.8,,0,1,0,550.269,36.19,510.42,3.66,,0,1,0
Sao Paulo, Brazil,17.642,2.63,12.72,2.29,-,-2,20,2,36.654,3.51,30.98,2.17,+,+4,16,4
Seattle, United States,24.329,3.49,17.04,3.8,-,-1,12,1,51.966,4.71,43.59,3.66,+,+1,11,1
Seoul, South Korea,16.68,1.6,11.83,3.24,-,-2,23,2,30.111,3.3,23.57,3.25,-,-2,25,2
Shanghai, China,42.162,3.57,36.17,2.43,+,+3,7,3,70.617,5.1,62.87,2.65,,0,7,0
Shenzhen, China,17.403,1.76,13.66,1.99,+,+12,21,12,35.101,3.06,29.39,2.65,+,+3,18,3
Singapore City, Singapore,15.713,3.16,9.25,3.3,+,+1,25,1,32.279,3.89,25.69,2.7,+,+3,22,3
Stockholm, Sweden,15.748,1.83,10.13,3.78,+,+5,24,5,31.273,3.19,24.29,3.8,+,+1,23,1
Sydney, Australia,11.998,3.13,5.37,3.5,-,-5,36,5,20.49,3.98,12.87,3.64,-,-2,38,2
Taipei City, Taiwan,10.45,2.39,4.48,3.58,+,+1,41,1,14.955,3.4,8.34,3.22,-,-6,47,6
Tel Aviv Area, Israel,27.084,4.04,19.92,3.13,-,-1,8,1,54.89,5.26,46.48,3.15,-,-1,9,1
Tokyo-Yokohama Area, Japan,21.792,2.5,16,3.3,+,+1,15,1,37.49,5.88,28.8,2.82,,0,15,0
Toronto, Canada,15.678,4.64,7.49,3.55,-,-2,26,2,31.266,5.34,22.96,2.97,+,+2,24,2
Vancouver, Canada,10.35,2.39,4.41,3.55,-,-5,42,5,18.88,3.27,12.1,3.51,+,+2,40,2
Washington DC Area, United States,18.064,3.47,10.79,3.8,+,+11,19,11,34.963,4.96,26.34,3.66,,0,19,0
Raleigh Durham, United States,0,0,0,0,0,0,0,0,18.648,1.96,13.03,3.66,-,-1,41,1
Salt Lake City - Provo Area, United States,0,0,0,0,0,0,0,0,24.706,1.95,19.1,3.66,+,+24,31,24
Houston, United States,0,0,0,0,0,0,0,0,14.596,2.1,8.83,3.66,+,+3,49,3
Dublin, Ireland,0,0,0,0,0,0,0,0,15.049,2.2,9.36,3.49,+,+5,46,5
